finger_pair_code,left_finger,right_finger,timing,judgment,accuracy,trial,run
0,0,1,-0.03,-1,1,105,0
0,0,1,-0.25,-1,1,106,0
0,0,1,-0.4,-1,1,107,0
0,0,1,0.03,1,1,108,0
0,0,1,-0.25,-1,1,109,0
0,0,1,0.4,1,1,110,0
0,0,1,-0.07,-1,1,111,0
0,0,1,0.18,1,1,112,0
0,0,1,-0.18,-1,1,113,0
0,0,1,-0.03,-1,1,114,0
0,0,1,-0.12,-1,1,115,0
0,0,1,0.07,-1,0,116,0
0,0,1,0.25,1,1,117,0
0,0,1,-0.4,-1,1,118,0
0,0,1,0.12,-1,0,119,0
2,2,3,0.07,1,1,120,1
2,2,3,-0.18,1,0,121,1
2,2,3,-0.07,-1,1,122,1
2,2,3,-0.4,-1,1,123,1
2,2,3,0.18,1,1,124,1
2,2,3,-0.12,-1,1,125,1
2,2,3,-0.25,-1,1,126,1
2,2,3,-0.03,1,0,127,1
2,2,3,0.4,1,1,128,1
2,2,3,0.12,1,1,129,1
2,2,3,0.03,1,1,130,1
2,2,3,0.25,1,1,131,1
2,2,3,0.25,1,1,132,1
2,2,3,-0.18,1,0,133,1
2,2,3,-0.03,-1,1,134,1
2,2,3,-0.4,-1,1,135,1
2,2,3,-0.07,-1,1,136,1
2,2,3,0.03,-1,0,137,1
2,2,3,-0.25,-1,1,138,1
2,2,3,0.4,1,1,139,1
2,2,3,0.18,1,1,140,1
2,2,3,0.07,1,1,141,1
2,2,3,0.12,1,1,142,1
2,2,3,-0.12,1,0,143,1
2,2,3,0.18,1,1,144,1
2,2,3,-0.07,1,0,145,1
2,2,3,0.12,1,1,146,1
2,2,3,-0.18,-1,1,147,1
2,2,3,-0.12,1,0,148,1
2,2,3,0.07,-1,0,149,1
2,2,3,0.4,1,1,150,1
2,2,3,0.03,1,1,151,1
2,2,3,0.25,1,1,152,1
2,2,3,-0.25,-1,1,153,1
2,2,3,-0.03,-1,1,154,1
2,2,3,-0.4,-1,1,155,1
2,2,3,-0.12,1,0,156,1
2,2,3,-0.18,1,0,157,1
2,2,3,0.12,1,1,158,1
2,2,3,0.4,1,1,159,1
2,2,3,0.03,1,1,160,1
2,2,3,-0.25,-1,1,161,1
2,2,3,-0.03,-1,1,162,1
2,2,3,0.18,1,1,163,1
2,2,3,0.25,1,1,164,1
2,2,3,-0.07,1,0,165,1
2,2,3,0.07,1,1,166,1
2,2,3,-0.4,1,0,167,1
2,2,3,0.12,1,1,168,1
2,2,3,0.4,1,1,169,1
2,2,3,-0.12,1,0,170,1
2,2,3,0.03,1,1,171,1
2,2,3,-0.07,1,0,172,1
2,2,3,0.18,1,1,173,1
2,2,3,-0.03,1,0,174,1
2,2,3,0.07,1,1,175,1
2,2,3,-0.18,-1,1,176,1
2,2,3,-0.4,1,0,177,1
2,2,3,-0.25,-1,1,178,1
2,2,3,0.25,1,1,179,1
2,2,3,-0.07,-1,1,180,1
2,2,3,-0.12,1,0,181,1
2,2,3,0.18,1,1,182,1
2,2,3,-0.18,1,0,183,1
2,2,3,0.4,1,1,184,1
2,2,3,0.03,1,1,185,1
2,2,3,0.12,1,1,186,1
2,2,3,-0.03,1,0,187,1
2,2,3,-0.25,-1,1,188,1
2,2,3,-0.4,-1,1,189,1
2,2,3,0.25,1,1,190,1
2,2,3,0.07,1,1,191,1
2,2,3,-0.07,1,0,192,1
2,2,3,-0.4,-1,1,193,1
2,2,3,0.03,1,1,194,1
2,2,3,0.07,1,1,195,1
2,2,3,-0.18,1,0,196,1
2,2,3,-0.03,1,0,197,1
2,2,3,0.25,1,1,198,1
2,2,3,-0.12,1,0,199,1
2,2,3,0.18,1,1,200,1
2,2,3,0.4,1,1,201,1
2,2,3,-0.25,1,0,202,1
2,2,3,0.12,1,1,203,1
2,2,3,0.07,1,1,204,1
2,2,3,-0.4,1,0,205,1
2,2,3,0.4,1,1,206,1
2,2,3,-0.25,1,0,207,1
2,2,3,0.18,1,1,208,1
2,2,3,-0.12,-1,1,209,1
2,2,3,0.03,1,1,210,1
2,2,3,0.25,1,1,211,1
2,2,3,-0.07,-1,1,212,1
2,2,3,0.12,1,1,213,1
2,2,3,-0.03,1,0,214,1
2,2,3,-0.18,-1,1,215,1
2,2,3,-0.25,-1,1,216,1
